N0: H502(260) H4681(176) H511(150) H6279(138) H3131(120) H2871(120)
N1058: H11390(108) H7164(86) H7307(82) H951(80) H6446(70) H2381(50)
N1059: H2728(65) H876(45) H11505(41) H2070(30) H4349(21) H2360(12)
N1060: H6274(119) H10219(88) H11209(85) H1514(77) H6232(65) H4715(59)
N1061: H7988(214) H8998(176) H7156(162) H2755(154) H2693(130) H6522(120)
N1062: H11277(114) H4683(100) H11945(98) H784(94) H3049(90) H5489(86)
N1063: H896(182) H2802(150) H6277(140) H3670(100) H10055(70) H11493(64)
N1064: H7140(146) H11996(128) H3292(109) H11922(102) H10202(102) H11929(90)
N1065: H5452(163) H7428(125) H9632(109) H1557(87) H9891(83) H5331(80)
N1066: H9132(91) H3621(51) H5435(48) H9576(44) H9566(38) H3280(35)
N1067: H4343(115) H2357(110) H2(80) H8380(70) H1(55) H7968(40)
N1068: H5005(141) H3535(132) H8358(107) H3465(106) H8512(84) H609(68)
N1069: H1015(133) H1111(129) H8447(125) H8007(100) H6075(96) H8002(66)
N1070: H8020(66) H423(52) H3556(51) H7246(46) H10072(44) H6528(39)
N1071: H2346(78) H4895(78) H6945(68) H8878(63) H6000(62) H5660(44)
N1072: H3809(132) H5688(108) H6384(87) H9827(78) H812(72) H9229(72)
N1073: H7810(100) H7347(95) H7859(89) H2417(68) H3595(65) H8044(63)
N1074: H1452(86) H8988(64) H5165(52) H1370(50) H7528(44) H7993(40)
N1075: H932(54) H8534(32) H4734(32) H9828(24) H7179(18) H731(16)
N1076: H10682(129) H3181(81) H6922(81) H5407(81) H11713(66) H2233(63)
N1077: H8003(49) H8463(46) H4568(39) H8517(36) H1735(33) H4750(28)
N1078: H11878(63) H9574(42) H441(27) H10246(21) H9444(21) H853(18)
N1079: H6407(96) H5120(72) H11789(72) H8848(66) H7423(66) H5405(60)
N1080: H3313(144) H386(88) H1721(72) H10452(56) H2566(48) H6309(48)
N1081: H9281(124) H5367(121) H6893(97) H7069(96) H11242(91) H5065(90)
N1082: H2569(140) H4014(100) H5898(86) H1342(84) H8005(68) H2550(52)
N1083: H1967(92) H5443(78) H9292(55) H2698(48) H1730(37) H5616(35)
N1084: H10411(154) H2318(130) H3974(107) H5292(81) H5694(79) H3666(60)
N1085: H5614(127) H5154(123) H2174(83) H254(82) H849(81) H2168(75)
N1086: H4230(158) H2229(140) H5641(135) H2398(118) H5500(75) H7445(73)
N1087: H11438(66) H608(60) H8468(56) H10872(41) H4473(39) H7082(35)
N1088: H10532(113) H9993(94) H3225(92) H4257(83) H11051(80) H8075(72)
N1089: H3(110) H1969(96) H3624(82) H4766(79) H3449(68) H9409(54)
N1090: H3442(175) H1264(102) H8216(101) H9059(92) H10397(64) H4554(62)
N1091: H4110(8) H4225(4) H8547(1) H7947(1) H8144(0) H7040(0)
N1092: H5347(123) H10186(100) H5104(76) H5588(76) H6792(76) H6201(76)
N1093: H11386(128) H5337(92) H5394(61) H6905(42) H4477(33) H6981(28)
N1094: H5103(99) H5293(85) H3649(81) H1994(77) H2666(40) H11462(28)
N1095: H2340(120) H1378(115) H10607(112) H6353(108) H7009(78) H9206(43)
N1096: H10598(107) H1126(96) H10208(64) H9945(56) H4073(46) H1270(42)
N1097: H11376(32) H11015(30) H5690(28) H9422(20) H5597(16) H2432(10)
N1098: H8316(130) H1399(121) H3342(118) H828(104) H4930(82) H7437(49)
N1099: H5536(54) H11444(43) H2037(40) H9796(35) H1230(29) H9866(16)
N1100: H5470(133) H7343(103) H10136(97) H8212(93) H2761(80) H7812(57)
N1101: H7725(112) H6571(101) H11682(54) H2699(33) H3542(30) H1633(26)
N1102: H7658(26) H1588(20) H4724(19) H11411(16) H6155(15) H8834(13)
N1103: H6420(106) H7339(90) H8556(61) H9848(60) H11396(58) H7079(58)
N1104: H662(129) H9627(104) H6971(103) H3024(88) H6147(88) H9711(67)
N1105: H6815(139) H3196(132) H11976(126) H1418(116) H9672(100) H10230(77)
N1106: H7335(86) H11857(73) H2673(55) H1931(21) H9844(13) H11319(7)
N1107: H2203(140) H3635(133) H4476(126) H9731(77) H1694(63) H5438(42)
N1108: H3714(156) H6568(152) H9551(152) H7603(144) H5223(136) H6693(120)
N1109: H4978(125) H11263(117) H1480(112) H8619(84) H8454(68) H11425(66)
N1110: H6301(93) H9886(93) H5371(91) H2268(87) H1748(48) H2720(38)
N1111: H440(138) H7574(113) H2098(107) H6986(67) H7817(64) H10105(64)
N1112: H3147(71) H4790(66) H9767(27) H6515(21) H4510(18) H5349(17)
N1113: H4740(142) H1018(111) H6918(108) H3502(101) H1056(69) H2808(67)
N1114: H1085(72) H2777(53) H4843(43) H1359(37) H5392(32) H7758(32)
N1115: H167(230) H10279(220) H11741(190) H10770(141) H10500(137) H8053(132)
N1116: H9589(63) H9158(49) H4877(39) H5855(38) H4679(32) H3030(25)
N1117: H7551(36) H821(24) H11217(24) H926(16) H10589(16) H9334(12)
N1118: H10575(90) H3894(78) H9585(66) H343(54) H8157(48) H2750(42)
N1119: H6104(73) H3100(70) H5513(63) H4396(58) H9028(55) H9097(54)
N1120: H3632(118) H1293(117) H7479(112) H9151(102) H5765(90) H6595(88)
N1121: H8357(121) H9558(110) H10605(97) H9221(58) H867(56) H11279(44)
N1122: H10245(133) H5561(122) H9382(106) H4467(97) H393(77) H4816(52)
N1123: H9905(140) H11997(114) H2223(108) H1618(90) H1462(88) H5943(84)
N1124: H11924(127) H9272(118) H9277(116) H1440(82) H9833(81) H8539(80)
N1125: H6773(170) H9620(151) H11769(149) H3812(129) H10357(119) H1030(104)
N1126: H9599(119) H5049(101) H3872(81) H6290(52) H6270(49) H8201(39)
N1127: H4981(122) H5916(116) H11034(114) H2727(100) H9492(100) H6252(66)
N1128: H5687(90) H4308(72) H8521(72) H10879(63) H905(54) H7124(45)
N1129: H4386(65) H10618(42) H6679(14) H9758(13) H8637(13) H6363(13)
N1130: H6358(170) H3103(154) H11814(126) H3075(77) H10316(67) H9473(64)
N1131: H5285(166) H7841(141) H8704(132) H11489(130) H5918(117) H6487(104)
N1132: H4068(69) H6356(68) H7201(59) H5867(57) H11474(54) H1007(52)
N1133: H6708(45) H3863(41) H422(38) H3604(30) H4096(29) H2394(26)
N1134: H11839(173) H11991(167) H7851(132) H4532(106) H1723(83) H5072(67)
N1135: H8915(80) H8796(63) H3882(60) H8591(53) H2719(45) H379(45)
N1136: H7893(105) H3263(100) H3550(87) H8268(78) H10901(55) H6480(53)
N1137: H1047(86) H1055(80) H8113(80) H8721(62) H217(54) H4879(42)
N1138: H5124(83) H4383(61) H9425(58) H11948(55) H1882(50) H4632(38)
N1139: H7837(121) H3778(112) H7914(111) H1651(77) H385(75) H6226(75)
N1140: H11183(165) H9327(162) H11560(75) H9912(54) H6485(48) H9881(45)
N1141: H130(88) H1929(85) H2178(81) H8026(78) H10984(70) H5899(67)
N1142: H9031(138) H10937(125) H611(114) H8472(86) H7490(82) H4758(67)
N1143: H6952(176) H6565(158) H7102(112) H10736(105) H3607(101) H3445(85)
N1144: H6364(124) H10959(99) H3161(89) H5939(70) H3036(62) H2965(59)
N1145: H6375(99) H11187(93) H4392(68) H11926(62) H8766(52) H11480(41)
N1146: H6938(73) H5604(43) H11079(41) H10472(40) H6858(35) H9145(30)
N1147: H11283(148) H3239(146) H2359(119) H315(112) H7237(109) H11082(87)
N1148: H8227(84) H11828(60) H424(52) H1923(40) H3573(40) H3883(36)
N1149: H11538(108) H8958(100) H9541(84) H77(72) H5454(71) H2254(56)
N1150: H2559(36) H4071(33) H8432(30) H9053(29) H5515(27) H10371(25)
N1151: H3933(172) H4656(128) H8161(122) H1701(89) H10287(69) H2798(57)
N1152: H3356(120) H2080(78) H6169(73) H7299(49) H1697(41) H9434(35)
N1153: H4921(185) H4876(120) H2498(56) H6706(55) H7337(53) H1751(53)
N1154: H5080(119) H11038(119) H98(91) H2271(89) H2336(88) H451(72)
N1155: H1660(173) H661(163) H1613(107) H2618(106) H585(97) H6941(65)
N1156: H6466(106) H6237(99) H10670(87) H7427(81) H7975(72) H5532(48)
N1157: H8145(90) H3842(53) H6320(40) H7793(32) H2815(30) H8946(30)
N1158: H6122(121) H11513(90) H3122(65) H4480(52) H5911(42) H10610(38)
N1159: H10624(80) H11429(73) H7051(59) H3192(44) H9306(42) H5670(40)
N1160: H8953(59) H11816(34) H6856(31) H6544(23) H11905(20) H433(16)
N1161: H1718(125) H2409(116) H1218(101) H2644(101) H8647(74) H11543(59)
N1162: H4975(170) H11581(138) H1286(127) H9304(121) H3287(106) H1309(103)
N1163: H9590(108) H7516(94) H1700(90) H5525(62) H11230(62) H8102(40)
N1164: H11167(54) H1044(38) H4285(34) H7092(34) H1266(32) H565(30)
N1165: H3116(117) H10244(112) H2350(90) H7626(62) H9802(53) H10567(49)
N1166: H8182(112) H7402(96) H10243(92) H1726(89) H1001(73) H4165(48)
N1167: H11562(78) H1405(74) H6389(74) H11004(70) H5541(64) H9050(56)
N1168: H9076(132) H9770(124) H6086(64) H5549(58) H9177(48) H10604(42)
N1169: H8465(81) H10915(77) H5205(49) H350(43) H1778(43) H9189(35)
N1170: H3472(103) H9488(99) H4207(68) H8390(63) H8272(38) H5057(35)
N1171: H8520(123) H2399(103) H3461(88) H6091(73) H11160(72) H8192(67)
N1172: H10790(106) H2419(103) H2575(100) H4144(77) H869(69) H10681(69)
N1173: H594(15) H190(12) H3544(10) H5297(10) H11248(10) H11459(10)
N1174: H2079(144) H11965(136) H8662(130) H5339(86) H11651(80) H997(61)
N1175: H6791(44) H6213(35) H7804(31) H2227(28) H7065(28) H10940(17)
N1176: H4499(136) H2832(133) H8361(113) H1685(94) H8109(71) H3368(51)
N1177: H11100(108) H2089(84) H4220(72) H6401(72) H8569(72) H4608(66)
N1178: H429(108) H10434(89) H11178(65) H8531(53) H11626(47) H7245(39)
N1179: H7466(111) H1682(110) H4211(109) H1936(106) H3952(62) H6072(58)
N1180: H7969(50) H9526(50) H773(25) H9162(25) H11322(25) H4620(15)
N1181: H6781(79) H1676(72) H1096(63) H6257(48) H11891(46) H11336(46)
N1182: H4712(103) H7096(89) H2082(82) H6093(57) H2635(56) H2107(55)
N1183: H6697(98) H6042(95) H11472(90) H169(87) H9611(84) H9953(76)
N1184: H5923(117) H848(83) H1699(55) H11712(44) H10759(38) H2450(29)
N1185: H324(153) H11070(144) H397(136) H9061(121) H10519(103) H8209(98)
N1186: H8785(120) H5269(104) H1304(102) H1338(101) H3860(99) H5712(93)
N1187: H10468(152) H1439(146) H5270(142) H2540(128) H2097(126) H8978(96)
N1188: H7047(84) H7957(83) H9374(77) H8628(74) H4540(70) H11226(43)
N1189: H5021(88) H9854(62) H7137(52) H257(44) H11416(38) H4713(34)
N1190: H8757(106) H4823(83) H6300(63) H6633(57) H1623(56) H11868(54)
N1191: H2127(127) H10069(116) H3496(77) H11826(77) H703(75) H10966(68)
N1192: H2231(105) H1703(102) H9095(91) H5335(58) H2585(58) H109(50)
N1193: H11838(97) H11267(91) H5428(52) H10180(30) H7114(29) H10887(18)
N1194: H4195(66) H10210(62) H3417(53) H1985(52) H4055(49) H9448(40)
N1195: H6340(161) H9446(153) H3766(131) H290(127) H1291(108) H779(89)
N1196: H6662(104) H1373(75) H2634(69) H8912(68) H3497(53) H1350(46)
N1197: H3252(120) H4157(95) H4136(84) H2906(67) H1702(66) H10404(38)
N1198: H10460(104) H159(96) H4418(70) H5416(69) H7508(60) H8555(56)
N1199: H4647(150) H3765(139) H3189(125) H11261(92) H3527(74) H387(70)
N1200: H5109(90) H8206(63) H7336(54) H2722(39) H1710(30) H2776(27)
N1201: H524(95) H6218(93) H5002(92) H11030(83) H1891(66) H9343(60)
N1202: H3124(79) H3028(57) H6186(49) H8355(46) H1119(34) H3950(29)
N1203: H215(126) H7765(119) H2331(77) H5280(77) H2846(70) H7953(56)
N1204: H4711(71) H90(58) H866(49) H3205(45) H11771(31) H121(31)
N1205: H2110(24) H11577(22) H9666(19) H3279(18) H3859(14) H11313(9)
N1206: H1619(40) H11885(20) H6669(20) H2427(12) H11362(8) H5145(4)
N1207: H4779(108) H2063(107) H5506(105) H10769(104) H8814(70) H1031(63)
N1208: H3083(92) H5427(89) H11165(73) H8929(65) H4524(62) H2169(54)
N1209: H7204(101) H9146(77) H2249(56) H299(41) H4478(41) H4035(31)
N1210: H11684(111) H3870(60) H2981(60) H3500(51) H6524(47) H1251(46)
N1211: H5159(123) H5303(113) H1732(108) H5083(106) H1906(100) H822(84)
N1212: H7358(171) H7527(159) H5826(106) H4673(90) H722(89) H8700(87)
N1213: H10651(212) H5938(184) H10929(172) H2843(170) H6307(164) H2721(153)
N1214: H8795(120) H8194(117) H10284(116) H1478(97) H691(83) H1297(58)
N1215: H8239(120) H7314(118) H3437(99) H838(93) H7835(93) H8336(79)
N1216: H10305(188) H3377(164) H7415(125) H1507(124) H11484(121) H2194(102)
N1217: H10494(69) H1916(60) H5203(43) H1408(42) H474(33) H5635(23)
N1218: H10744(71) H11908(70) H519(51) H640(49) H4431(47) H7465(46)
N1219: H7077(102) H9055(102) H9091(90) H5629(86) H7442(72) H3234(68)
N1220: H203(129) H3738(128) H4609(125) H4372(123) H10980(107) H10568(103)
N1221: H5920(84) H9889(79) H1615(50) H5272(47) H1376(24) H1924(23)
N1222: H491(100) H4795(82) H9608(68) H3283(59) H11904(36) H9869(31)
N1223: H5791(33) H4723(31) H4945(28) H20(27) H6167(26) H11915(17)
N1224: H7595(204) H7781(132) H3355(104) H5444(68) H7381(60) H6796(56)
N1225: H7511(140) H11601(108) H5264(83) H3438(57) H2962(54) H4337(43)
N1226: H2526(128) H6581(110) H5140(90) H5378(90) H1646(86) H4745(74)
N1227: H4500(72) H4932(45) H10057(33) H11067(33) H6050(26) H10309(15)
N1228: H4072(155) H9397(119) H11025(113) H7463(90) H3069(43) H3681(43)
N1229: H11673(26) H1844(25) H7286(23) H11035(22) H5172(18) H5186(17)
N1230: H10629(71) H6361(57) H6736(56) H6428(53) H9062(49) H7353(40)
N1231: H4133(138) H6148(132) H10788(126) H9416(108) H5044(102) H9983(96)
N1232: H10114(71) H5583(68) H10606(47) H2892(46) H832(45) H6130(33)
N1233: H9676(39) H11282(31) H904(30) H1571(29) H2709(29) H10414(24)
N1234: H4286(158) H99(151) H3852(148) H9795(146) H4535(137) H6044(125)
N1235: H11663(144) H3055(134) H6663(116) H9764(89) H9782(80) H2863(78)
N1236: H3423(202) H11214(138) H1445(127) H5095(124) H8074(91) H7113(88)
N1237: H5155(130) H3146(78) H3273(74) H8554(71) H4390(60) H10396(59)
N1238: H6422(87) H1025(85) H2825(78) H3264(66) H9412(56) H8649(55)
N1239: H3372(126) H4566(104) H2689(98) H4002(79) H5556(43) H11981(37)
N1240: H4226(113) H5554(104) H11820(94) H4465(90) H8846(72) H9020(50)
N1241: H5289(104) H8278(102) H10198(96) H8058(92) H9104(74) H5209(52)
N1242: H10107(86) H1287(61) H11156(59) H7213(58) H8674(47) H6195(43)
N1243: H2907(153) H10138(142) H11851(109) H2603(103) H119(96) H3198(84)
N1244: H1510(140) H7680(135) H5196(120) H3493(95) H5434(89) H10004(84)
N1245: H8230(143) H2562(87) H5009(65) H5560(55) H10871(40) H11109(25)
N1246: H8973(70) H6206(66) H11091(65) H4551(63) H6935(39) H2339(33)
N1247: H7536(145) H3190(143) H7283(132) H11026(114) H10387(112) H4590(109)
N1248: H4076(49) H1547(40) H2355(14) H6123(10) H5682(9) H7202(6)
N1249: H10352(84) H4522(52) H6157(34) H6342(27) H4074(25) H6430(11)
N1250: H7863(111) H9235(75) H471(63) H11517(55) H3844(50) H10684(49)
N1251: H8460(117) H9580(105) H1426(64) H4678(60) H4802(20) H7532(20)
N1252: H11249(48) H6247(47) H11612(44) H7842(31) H1914(28) H11389(26)
N1253: H6735(16) H7976(16) H7362(14) H6654(10) H4989(8) H6690(6)
N1254: H5014(166) H2645(155) H9873(110) H2539(108) H11285(84) H1681(75)
N1255: H4851(76) H2238(65) H4591(46) H3934(34) H908(25) H10949(18)
N1256: H11992(95) H7950(82) H2308(68) H4401(66) H2993(55) H10268(48)
N1257: H2911(187) H11437(161) H3648(150) H6295(84) H6931(71) H3805(51)
N1258: H7715(128) H259(119) H6443(116) H4738(44) H6860(43) H6885(40)
N1259: H10855(124) H6889(118) H6975(92) H6260(83) H6859(56) H11702(34)
N1260: H1741(75) H5151(75) H6269(72) H3409(69) H10692(60) H11367(57)
N1261: H5368(67) H7801(57) H1987(53) H7553(52) H3878(38) H9015(22)
N1262: H4483(164) H3238(129) H10836(120) H10558(75) H536(70) H600(68)
N1263: H11876(106) H4644(86) H9114(76) H1647(64) H6993(56) H3285(44)
N1264: H3309(42) H11456(36) H3991(30) H7885(30) H9789(18) H4650(18)
N1265: H2760(113) H56(103) H8802(92) H3284(87) H7700(78) H3136(77)
N1266: H9431(140) H8690(116) H6065(112) H7112(112) H598(88) H2659(56)
N1267: H7506(193) H12(172) H10523(171) H5279(159) H8379(119) H1213(109)
N1268: H10370(186) H10418(147) H11447(115) H9553(112) H8639(76) H2726(63)
N1269: H11722(108) H7839(91) H10161(83) H9190(67) H2059(63) H6983(61)
N1270: H3987(88) H9251(80) H8277(62) H10925(56) H749(42) H3037(40)
N1271: H1435(75) H10856(39) H8544(35) H4599(33) H2414(19) H1841(10)
N1272: H6687(103) H8726(97) H10250(95) H9794(94) H8449(89) H8525(82)
N1273: H4011(88) H3160(80) H11664(80) H5743(73) H6965(73) H2488(67)
N1274: H2007(50) H1181(26) H4887(20) H3412(18) H819(10) H6729(10)
N1275: H11831(76) H4024(54) H7663(50) H10229(48) H3298(46) H3705(40)
N1276: H1795(100) H8896(80) H7304(77) H1546(69) H6526(50) H5521(38)
N1277: H1228(178) H6246(175) H6646(147) H1813(126) H9877(113) H10184(99)
N1278: H10011(26) H11192(25) H6795(23) H6939(21) H9792(19) H3501(18)
N1279: H6197(111) H163(100) H3369(86) H10616(85) H3724(62) H5755(55)
N1280: H10711(62) H7108(60) H1785(49) H6997(46) H8438(40) H4352(39)
N1281: H9237(134) H2914(86) H1959(80) H4849(58) H1220(48) H7093(38)
N1282: H6501(104) H7662(63) H357(62) H8304(59) H760(52) H1705(47)
N1283: H7923(151) H2373(125) H4573(106) H515(96) H11151(77) H1992(73)
N1284: H1895(96) H10400(62) H28(62) H7129(35) H5964(32) H8377(12)
N1285: H7268(29) H4194(27) H4967(24) H6088(23) H5178(21) H8375(20)
N1286: H6780(56) H8069(50) H2243(32) H10549(28) H8568(26) H6322(22)
N1287: H3318(37) H10687(33) H11341(33) H1873(30) H2465(29) H4601(29)
N1288: H10775(41) H8452(36) H9428(20) H10883(20) H7834(20) H6728(15)
N1289: H11241(73) H3713(57) H7777(47) H11777(47) H6163(45) H3536(44)
N1290: H3474(56) H11221(45) H9807(43) H6400(35) H4328(31) H4159(25)
N1291: H3347(84) H4007(75) H9860(62) H4657(57) H9713(39) H4561(37)
N1292: H11454(106) H3458(100) H1920(100) H3729(88) H11786(76) H6551(50)
N1293: H9120(20) H384(19) H1885(18) H2831(17) H3104(16) H8103(14)
N1294: H3251(182) H5729(148) H4691(128) H1996(60) H10908(60) H306(44)
N1295: H4863(65) H6048(59) H9717(50) H4058(43) H4481(37) H2636(33)
N1296: H3924(160) H1135(150) H8541(145) H7151(140) H939(118) H1933(76)
N1297: H275(29) H10889(16) H5037(7) H11057(7) H1981(7) H6561(7)
N1298: H8038(33) H8801(33) H11074(27) H11054(23) H2791(3) H1868(3)
N1299: H10878(39) H5031(38) H10436(33) H4858(23) H11829(18) H4769(17)
N1300: H3022(72) H9690(67) H8650(57) H8493(54) H5761(48) H6530(46)
N1301: H8663(186) H510(173) H9217(163) H2622(149) H7478(148) H11213(140)
N1302: H7678(71) H4020(69) H9763(68) H8993(58) H11197(23) H3477(23)
N1303: H11060(87) H5845(78) H2861(70) H2195(68) H3463(64) H1851(55)
N1304: H2944(147) H10946(129) H5091(117) H3064(96) H9242(84) H719(60)
N1305: H6259(103) H5668(102) H11372(98) H8780(67) H11111(66) H4630(47)
N1306: H5970(164) H2277(134) H7244(134) H11867(119) H8066(100) H5767(95)
N1307: H9538(70) H4818(65) H9458(56) H10234(55) H9661(52) H1636(44)
N1308: H2240(176) H11550(169) H1249(161) H4868(110) H6183(109) H11963(92)
N1309: H7287(87) H1314(78) H8706(71) H3475(70) H3989(56) H4702(49)
N1310: H3094(94) H1059(84) H4200(69) H7986(50) H3582(40) H9225(35)
N1311: H9144(208) H9065(163) H10524(126) H4558(125) H11045(121) H5313(113)
N1312: H4963(36) H503(28) H1202(26) H7421(22) H2817(18) H5865(18)
N1313: H4119(56) H10329(30) H4638(25) H2642(24) H8314(20) H11815(18)
N1314: H5558(140) H10792(120) H4637(87) H5051(77) H7276(34) H11119(19)
N1315: H3382(76) H6378(56) H5373(40) H3214(40) H8853(36) H6063(30)
N1316: H7854(141) H6519(102) H7778(81) H3986(73) H11499(61) H888(55)
N1317: H84(192) H5917(125) H2847(119) H5652(119) H7456(118) H4962(110)
N1318: H10818(164) H6124(151) H10556(132) H8248(109) H7830(92) H6719(76)
N1319: H6051(63) H7881(60) H7720(39) H5425(34) H4997(19) H3660(15)
N1320: H712(89) H2504(76) H8755(74) H5566(58) H3615(55) H7681(49)
N1321: H11377(92) H9330(77) H4052(68) H5502(67) H1255(64) H8509(58)
N1322: H4562(110) H9919(103) H6121(66) H1590(38) H8861(20) H7486(16)
N1323: H10087(105) H8250(93) H10993(90) H2111(77) H4094(65) H10600(57)
N1324: H5986(84) H1066(36) H3840(36) H518(32) H5268(32) H7348(32)
N1325: H3613(106) H10406(101) H683(59) H3168(55) H2064(51) H1761(40)
N1326: H4781(200) H4998(167) H8280(160) H2704(156) H3180(154) H8091(154)
N1327: H1768(143) H4208(120) H4789(119) H7306(100) H9494(100) H10552(89)
N1328: H7727(115) H7192(95) H1583(81) H383(58) H8743(56) H5020(45)
N1329: H4862(110) H314(91) H4281(88) H5301(65) H6281(40) H3111(32)
N1330: H7669(187) H4245(159) H5376(130) H4729(128) H8937(127) H979(109)
N1331: H8916(171) H8112(153) H6609(99) H2681(81) H2323(81) H9588(54)
N1332: H9377(93) H11259(85) H9868(58) H8839(51) H7104(45) H1858(36)
N1333: H2275(108) H4365(82) H4736(66) H3783(64) H2998(62) H11901(59)
N1334: H10537(174) H2716(158) H5914(152) H7023(113) H4042(104) H4453(67)
N1335: H6750(62) H10447(55) H10475(53) H2494(51) H8027(45) H3996(40)
N1336: H3651(112) H5341(88) H11852(64) H11570(48) H9621(40) H8570(32)
N1337: H4260(86) H10113(62) H8590(50) H11308(44) H3943(44) H10502(40)
N1338: H5684(140) H9371(136) H1083(135) H8159(114) H4709(88) H3728(70)
N1339: H187(138) H11061(127) H1712(111) H8264(101) H767(95) H1138(80)
N1340: H11121(79) H11428(78) H928(69) H9527(42) H8681(37) H4214(36)
N1341: H2938(35) H10223(28) H4248(22) H8923(21) H4806(18) H3787(18)
N1342: H8640(96) H1022(76) H2334(68) H5987(68) H1192(32) H4376(32)
N1343: H1327(116) H7232(90) H4332(74) H2452(72) H2001(48) H7223(44)
N1344: H10471(104) H983(88) H4965(84) H1465(80) H517(68) H6152(60)
N1345: H6261(162) H2608(138) H6832(117) H4310(111) H4844(96) H3653(90)
N1346: H859(105) H8947(80) H3485(59) H7141(52) H11784(51) H7928(50)
N1347: H3336(70) H7591(31) H1161(31) H11703(30) H5354(27) H5677(15)
N1348: H7041(80) H11216(78) H9626(76) H11292(76) H675(70) H1769(26)
N1349: H7565(80) H2370(52) H6630(44) H2396(40) H9150(40) H1199(36)
N1350: H3815(96) H1713(84) H5766(48) H8756(30) H7424(24) H5334(12)
N1351: H4327(158) H2391(152) H450(152) H7823(102) H4549(94) H3948(92)
N1352: H4125(66) H3629(59) H11318(48) H7230(44) H442(42) H2004(23)
N1353: H4954(203) H5426(170) H6899(140) H1621(118) H11161(117) H5977(112)
N1354: H900(96) H7816(70) H7316(67) H11458(66) H1837(64) H5847(63)
N1355: H4626(140) H5377(112) H2940(108) H133(85) H8957(84) H11239(70)
N1356: H10820(33) H3334(29) H10322(29) H8959(28) H83(26) H1427(25)
N1357: H6865(48) H3647(37) H7990(28) H11718(28) H567(20) H5093(19)
N1358: H955(124) H9522(106) H2934(105) H7874(90) H5996(87) H1749(66)
N1359: H6897(85) H8060(65) H444(60) H1355(55) H2189(50) H5296(50)
N1360: H4787(117) H4450(46) H490(42) H3674(23) H4579(23) H2830(23)
N1361: H7056(126) H127(122) H4669(102) H10484(102) H7392(102) H4033(98)
N1362: H3013(73) H11180(57) H4718(49) H9253(47) H7766(15) H3301(10)
N1363: H9147(87) H4104(82) H6924(70) H8880(69) H3874(49) H5058(46)
N1364: H2338(117) H9556(81) H5900(81) H2609(63) H11081(63) H9798(54)
N1365: H1635(82) H11029(65) H4668(64) H11310(54) H8652(52) H3044(52)
N1366: H1447(54) H7309(36) H2675(26) H6499(18) H6035(15) H3144(10)
N1367: H11048(130) H140(98) H5062(84) H9199(74) H6008(57) H2076(53)
N1368: H10798(113) H10427(111) H346(109) H10819(104) H2641(97) H5048(96)
N1369: H5547(146) H9018(108) H7577(104) H1133(73) H11864(54) H6453(53)
N1370: H4899(92) H7429(83) H6712(33) H2896(26) H6615(25) H575(20)
N1371: H11715(106) H5779(66) H8659(60) H8784(58) H6299(56) H5778(53)
N1372: H1962(110) H2571(88) H863(77) H1910(75) H2143(63) H870(48)
N1373: H11691(171) H9688(162) H1482(158) H3048(155) H8458(137) H345(120)
N1374: H2531(72) H8383(62) H6341(52) H6280(50) H11511(48) H6884(38)
N1375: H10262(102) H8643(84) H11613(71) H637(69) H3018(45) H8090(37)
N1376: H11629(119) H11610(118) H7420(109) H443(100) H8037(98) H676(90)
N1377: H10349(222) H4901(162) H6946(160) H4897(149) H9411(148) H7219(122)
N1378: H5106(124) H389(104) H10876(71) H7772(52) H923(40) H2744(40)
N1379: H6329(116) H10594(108) H966(104) H11330(98) H10838(92) H9325(80)
N1380: H7622(116) H2295(78) H8860(59) H3680(52) H1951(46) H7072(35)
N1381: H1774(104) H11526(88) H5220(87) H6377(62) H796(41) H3154(33)
N1382: H9078(72) H10285(56) H4641(52) H4515(49) H1019(32) H435(26)
N1383: H3816(91) H765(76) H1926(69) H11518(62) H5859(60) H6841(52)
N1384: H7956(184) H10882(147) H2133(109) H4038(108) H3129(107) H520(53)
N1385: H3480(85) H2679(65) H4301(64) H1527(63) H11720(59) H3396(50)
N1386: H10805(60) H7687(56) H7144(51) H6054(30) H3928(21) H10859(20)
N1387: H3468(75) H3448(56) H9255(31) H684(25) H3956(10) H6265(7)
N1388: H6749(92) H4150(74) H1780(64) H10661(62) H7205(42) H8475(28)
N1389: H6562(91) H6178(75) H5250(66) H3969(65) H9287(60) H7544(50)
N1390: H3985(128) H11118(123) H3584(62) H1375(61) H10666(60) H5667(59)
N1391: H8829(104) H4177(100) H10328(94) H587(83) H10013(79) H2975(72)
N1392: H2584(71) H4831(52) H11220(49) H9825(45) H1260(36) H4621(32)
N1393: H100(63) H6180(31) H1574(30) H7552(5) H1209(5) H7247(5)
N1394: H3576(177) H3440(126) H2868(123) H75(113) H7917(107) H1746(104)
N1395: H10637(105) H9413(96) H1519(83) H10437(58) H7836(57) H8242(42)
N1396: H11179(186) H6196(129) H9801(111) H2242(111) H1145(104) H8932(94)
N1397: H9046(156) H5226(138) H8638(119) H3281(104) H2563(92) H9920(69)
N1398: H3392(25) H10870(22) H1383(21) H5906(18) H5741(17) H5982(16)
N1399: H4694(68) H359(64) H9811(55) H1317(46) H4451(38) H5811(34)
N1400: H9934(44) H6304(41) H1282(32) H1652(32) H3383(28) H3082(26)
N1401: H9564(103) H10164(101) H4827(93) H5042(71) H6968(68) H6092(66)
